   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -1.54000    -1072.1543         8.6992959         18.458651         1.0008612         134596.42         1624363.9         30.355525         2.3359547        -16.735371         4.5493990    
  -1.53000    -1055.3724         8.6477628         18.545387        0.99965322         135981.86         1646215.6         29.792523         2.2621978        -15.534683         3.9727524    
  -1.52000    -1038.6908         8.5957198         18.631605        0.99865730         137279.68         1666160.2         29.306018         2.1986195        -14.002165         3.2666843    
  -1.51000    -1022.1101         8.5435599         18.717301        0.99787233         138467.09         1683686.7         28.902454         2.1457714        -12.202342         2.5069615    
  -1.50000    -1005.6300         8.4917602         18.802477        0.99729678         139524.52         1698387.3         28.584983         2.1038328        -10.203709         1.7682875    
  -1.49000    -989.24934         8.4408531         18.887139        0.99692863         140436.66         1709979.8         28.353280         2.0726327        -8.0758665         1.1152423    
  -1.48000    -972.96589         8.3913830         18.971299        0.99676528         141193.27         1718321.6         28.203552         2.0516788        -5.8866152        0.59543691    
  -1.47000    -956.77636         8.3438495         19.054973        0.99680351         141789.76         1723412.2         28.128724         2.0401913        -3.6991709        0.23582940    
  -1.46000    -940.67660         8.2986431         19.138184        0.99703938         142227.47         1725384.7         28.118826         2.0371418        -1.5696151        0.42508155E-01
  -1.45000    -924.66187         8.2559783         19.220955        0.99746818         142513.70         1724486.4         28.161547         2.0412995        0.45527696        0.35744657E-02
  -1.44000    -908.72722         8.2158344         19.303312        0.99808446         142661.29         1721052.5         28.242942         2.0512842         2.3397101        0.94214600E-01
  -1.43000    -892.86802         8.1779099         19.385279        0.99888217         142687.89         1715472.9         28.348246         2.0656291         4.0599291        0.28276181    
  -1.42000    -877.08051         8.1415974         19.466875        0.99985476         142614.97         1708159.4         28.462742         2.0828517         5.6045771        0.53655482    
  -1.41000    -861.36242         8.1059832         19.548113         1.0009956         142466.63         1699513.5         28.572625         2.1015297         6.9743036        0.82665887    
  -1.40000    -845.71351         8.0698718         19.628993         1.0022980         142268.22         1689898.7         28.665798         2.1203785         8.1806281         1.1309254    
  -1.39000    -830.13607         8.0318343         19.709504         1.0037559         142045.07         1679619.1         28.732534         2.1383222         9.2441271         1.4352998    
  -1.38000    -814.63538         7.9902740         19.789618         1.0053643         141821.29         1668905.5         28.765952         2.1545521         10.192078         1.7336333    
  -1.37000    -799.21986         7.9435067         19.869292         1.0071191         141618.77         1657908.6         28.762278         2.1685663         11.055743         2.0264527    
  -1.36000    -783.90123         7.8898468         19.948465         1.0090179         141456.46         1646699.1         28.720877         2.1801856         11.867509         2.3191741    
  -1.35000    -768.69439         7.8276936         20.027061         1.0110604         141349.93         1635274.2         28.644055         2.1895453         12.658102         2.6201598    
  -1.34000    -753.61720         7.7556148         20.104986         1.0132481         141311.19         1623569.3         28.536674         2.1970632         13.454092         2.9388649    
  -1.33000    -738.69004         7.6724200         20.182136         1.0155851         141348.72         1611473.1         28.405614         2.2033888         14.275831         3.2841717    
  -1.32000    -723.93536         7.5772245         20.258394         1.0180783         141467.72         1598845.8         28.259133         2.2093385         15.135956         3.6629106    
  -1.31000    -709.37692         7.4694992         20.333639         1.0207373         141670.46         1585538.2         28.106183         2.2158236         16.038514         4.0785424    
  -1.30000    -695.03918         7.3491062         20.407742         1.0235747         141956.70         1571410.6         27.955717         2.2237757         16.978720         4.5300144    
  -1.29000    -680.94645         7.2163178         20.480579         1.0266064         142324.13         1556350.9         27.816051         2.2340762         17.943332         5.0108764    
  -1.28000    -667.12211         7.0718181         20.552029         1.0298515         142768.72         1540288.9         27.694297         2.2474921         18.911586         5.5088135    
  -1.27000    -653.58785         6.9166864         20.621980         1.0333322         143285.15         1523207.8         27.595907         2.2646211         19.856617         6.0057834    
  -1.26000    -640.36289         6.7523612         20.690333         1.0370741         143867.02         1505150.1         27.524361         2.2858485         20.747264         6.4789031    
  -1.25000    -627.46337         6.5805874         20.757003         1.0411053         144507.03         1486219.0         27.480986         2.3113169         21.550141         6.9021284    
