   emu(eV)      n(10^20/cm3)               DOS            intDOS            DOSvk2         |vk|(m/s)             sigma                ke      L(1E-8V2K-2)           S(uV/K)                PF  EFF(10^-20 W^5/3 m s^-1/3 K^-2)
  -1.48000    -972.96589         8.3913830         18.971299        0.16728675E+12     141193.27        0.17285918E+21    0.26659244E+16     1.9278152        -6.0013401        0.62257105        0.61708451E-02
  -1.47000    -956.77636         8.3438495         19.054973        0.16774754E+12     141789.76        0.17333532E+21    0.26627966E+16     1.9202640        -3.4224108        0.20302585        0.20200019E-02
  -1.46000    -940.67660         8.2986431         19.138184        0.16787037E+12     142227.47        0.17346224E+21    0.26650976E+16     1.9205171       -0.91169286        0.14417901E-01    0.14397113E-03
  -1.45000    -924.66187         8.2559783         19.220955        0.16768020E+12     142513.70        0.17326573E+21    0.26716630E+16     1.9274318         1.4865819        0.38290441E-01    0.38366846E-03
  -1.44000    -908.72722         8.2158344         19.303312        0.16721066E+12     142661.29        0.17278055E+21    0.26811713E+16     1.9397230         3.7385759        0.24149451        0.24276397E-02
  -1.43000    -892.86802         8.1779099         19.385279        0.16650088E+12     142687.89        0.17204712E+21    0.26922196E+16     1.9560190         5.8218901        0.58314348        0.58801981E-02
  -1.42000    -877.08051         8.1415974         19.466875        0.16559220E+12     142614.97        0.17110818E+21    0.27034061E+16     1.9749247         7.7259606         1.0213527        0.10329535E-01
  -1.41000    -861.36242         8.1059832         19.548113        0.16452504E+12     142466.63        0.17000547E+21    0.27134114E+16     1.9950912         9.4517578         1.5187562        0.15405023E-01
  -1.40000    -845.71351         8.0698718         19.628993        0.16333620E+12     142268.22        0.16877703E+21    0.27210743E+16     2.0152878         11.010784         2.0462083        0.20816937E-01
  -1.39000    -830.13607         8.0318343         19.709504        0.16205673E+12     142045.07        0.16745495E+21    0.27254554E+16     2.0344692         12.423430         2.5845267        0.26376426E-01
  -1.38000    -814.63538         7.9902740         19.789618        0.16071060E+12     141821.29        0.16606397E+21    0.27258836E+16     2.0518325         13.716801         3.1245041        0.31997649E-01
